x,y
20.6512,11.436
20.7104,11.4672
20.7695,11.4984
20.8286,11.5295
20.8877,11.5607
20.9467,11.5918
21.0058,11.6229
21.0648,11.6539
21.1237,11.685
21.1827,11.716
21.2416,11.747
21.3005,11.778
21.3594,11.8089
21.4182,11.8399
21.477,11.8708
21.5358,11.9016
21.5946,11.9325
21.6533,11.9633
21.712,11.9941
21.7707,12.0249
21.8294,12.0557
21.888,12.0864
21.9466,12.1171
22.0052,12.1478
22.0638,12.1785
22.1223,12.2092
22.1808,12.2398
22.2393,12.2704
22.2978,12.301
22.3562,12.3315
22.4146,12.362
22.473,12.3925
22.5313,12.423
22.5897,12.4535
22.648,12.4839
22.7062,12.5143
22.7645,12.5447
22.8227,12.5751
22.8809,12.6054
22.9391,12.6358
22.9972,12.6661
23.0554,12.6963
23.1135,12.7266
23.1715,12.7568
23.2296,12.787
23.2876,12.8172
23.3456,12.8474
23.4036,12.8775
23.4615,12.9076
23.5194,12.9377
23.5773,12.9678
23.6352,12.9978
23.693,13.0279
23.7509,13.0579
23.8087,13.0878
23.8664,13.1178
23.9242,13.1477
23.9819,13.1776
24.0396,13.2075
24.0973,13.2374
24.1549,13.2672
24.2125,13.297
24.2701,13.3268
24.3277,13.3566
24.3852,13.3864
24.4427,13.4161
24.5002,13.4458
24.5577,13.4755
24.6152,13.5051
24.6726,13.5348
24.73,13.5644
24.7873,13.594
24.8447,13.6235
24.902,13.6531
24.9593,13.6826
25.0166,13.7121
25.0738,13.7416
25.1311,13.7711
25.1883,13.8005
25.2454,13.8299
25.3026,13.8593
25.3597,13.8887
25.4168,13.918
25.4739,13.9473
25.5309,13.9766
25.588,14.0059
25.645,14.0352
25.702,14.0644
25.7589,14.0936
25.8158,14.1228
25.8727,14.152
25.9296,14.1811
25.9865,14.2102
26.0433,14.2393
26.1001,14.2684
26.1569,14.2975
26.2137,14.3265
26.2704,14.3555
26.3271,14.3845
26.3838,14.4135
26.4405,14.4424
26.4971,14.4713
26.5537,14.5002
26.6103,14.5291
26.6669,14.558
26.7234,14.5868
26.78,14.6156
26.8365,14.6444
26.8929,14.6732
26.9494,14.7019
27.0058,14.7306
27.0622,14.7593
27.1186,14.788
27.1749,14.8167
27.2313,14.8453
27.2876,14.8739
27.3439,14.9025
27.4001,14.9311
27.4564,14.9597
27.5126,14.9882
27.5688,15.0167
27.6249,15.0452
27.6811,15.0736
27.7372,15.1021
27.7933,15.1305
27.8493,15.1589
27.9054,15.1873
27.9614,15.2156
28.0174,15.244
28.0734,15.2723
28.1293,15.3006
28.1853,15.3288
28.2412,15.3571
28.2971,15.3853
28.3529,15.4135
28.4088,15.4417
28.4646,15.4698
28.5204,15.498
28.5761,15.5261
28.6319,15.5542
28.6876,15.5823
28.7433,15.6103
28.799,15.6383
28.8546,15.6664
28.9102,15.6943
28.9659,15.7223
29.0214,15.7503
29.077,15.7782
29.1325,15.8061
29.188,15.834
29.2435,15.8618
29.299,15.8897
29.3544,15.9175
29.4099,15.9453
29.4653,15.973
29.5206,16.0008
29.576,16.0285
29.6313,16.0562
29.6866,16.0839
