t,v(t)
6.46,-62.2366
6.48,-62.4279
6.5,-62.6191
6.52,-62.8103
6.54,-63.0015
6.56,-63.1926
6.58,-63.3838
6.6,-63.575
6.62,-63.7661
6.64,-63.9572
6.66,-64.1483
6.68,-64.3394
6.7,-64.5305
6.72,-64.7215
6.74,-64.9126
6.76,-65.1036
6.78,-65.2946
6.8,-65.4856
6.82,-65.6766
6.84,-65.8676
6.86,-66.0586
6.88,-66.2495
6.9,-66.4404
6.92,-66.6314
6.94,-66.8223
6.96,-67.0132
6.98,-67.204
7,-67.3949
7.02,-67.5857
7.04,-67.7766
7.06,-67.9674
7.08,-68.1582
7.1,-68.349
7.12,-68.5397
7.14,-68.7305
7.16,-68.9212
7.18,-69.1119
7.2,-69.3027
7.22,-69.4934
7.24,-69.684
7.26,-69.8747
7.28,-70.0653
7.3,-70.256
7.32,-70.4466
7.34,-70.6372
7.36,-70.8278
7.38,-71.0184
7.4,-71.2089
7.42,-71.3994
7.44,-71.59
7.46,-71.7805
7.48,-71.971
7.5,-72.1614
7.52,-72.3519
7.54,-72.5423
7.56,-72.7328
7.58,-72.9232
7.6,-73.1136
7.62,-73.304
7.64,-73.4943
7.66,-73.6847
7.68,-73.875
7.7,-74.0653
7.72,-74.2556
7.74,-74.4459
7.76,-74.6362
7.78,-74.8264
7.8,-75.0166
7.82,-75.2069
7.84,-75.3971
7.86,-75.5872
7.88,-75.7774
7.9,-75.9676
7.92,-76.1577
7.94,-76.3478
7.96,-76.5379
7.98,-76.728
8,-76.918
8.02,-77.1081
8.04,-77.2981
8.06,-77.4881
8.08,-77.6781
8.1,-77.8681
8.12,-78.0581
8.14,-78.248
8.16,-78.4379
8.18,-78.6278
8.2,-78.8177
8.22,-79.0076
8.24,-79.1975
8.26,-79.3873
8.28,-79.5771
8.3,-79.7669
8.32,-79.9567
8.34,-80.1465
8.36,-80.3362
8.38,-80.526
8.4,-80.7157
8.42,-80.9054
8.44,-81.0951
8.46,-81.2847
8.48,-81.4744
8.5,-81.664
8.52,-81.8536
8.54,-82.0432
8.56,-82.2327
8.58,-82.4223
8.6,-82.6118
8.62,-82.8013
8.64,-82.9908
8.66,-83.1803
8.68,-83.3698
8.7,-83.5592
8.72,-83.7486
8.74,-83.938
8.76,-84.1274
8.78,-84.3168
8.8,-84.5061
8.82,-84.6954
8.84,-84.8848
8.86,-85.074
8.88,-85.2633
8.9,-85.4526
8.92,-85.6418
8.94,-85.831
8.96,-86.0202
8.98,-86.2094
9,-86.3985
9.02,-86.5877
9.04,-86.7768
9.06,-86.9659
9.08,-87.155
9.1,-87.344
9.12,-87.533
9.14,-87.7221
9.16,-87.9111
9.18,-88.1
9.2,-88.289
9.22,-88.4779
9.24,-88.6669
9.26,-88.8558
9.28,-89.0446
9.3,-89.2335
9.32,-89.4223
9.34,-89.6111
9.36,-89.7999
9.38,-89.9887
9.4,-90.1775
9.42,-90.3662
9.44,-90.5549
9.46,-90.7436
9.48,-90.9323
9.5,-91.121
9.52,-91.3096
9.54,-91.4982
9.56,-91.6868
9.58,-91.8754
9.6,-92.0639
9.62,-92.2525
9.64,-92.441
9.66,-92.6295
9.68,-92.8179
9.7,-93.0064
9.72,-93.1948
9.74,-93.3832
9.76,-93.5716
9.78,-93.76
9.8,-93.9483
9.82,-94.1366
9.84,-94.3249
9.86,-94.5132
9.88,-94.7014
9.9,-94.8897
9.92,-95.0779
9.94,-95.2661
9.96,-95.4543
9.98,-95.6424
10,-95.8305
10.02,-96.0186
10.04,-96.2067
10.06,-96.3948
10.08,-96.5828
10.1,-96.7708
10.12,-96.9588
10.14,-97.1468
10.16,-97.3348
10.18,-97.5227
10.2,-97.7106
10.22,-97.8985
10.24,-98.0863
10.26,-98.2742
10.28,-98.462
10.3,-98.6498
10.32,-98.8376
10.34,-99.0253
10.36,-99.213
10.38,-99.4007
10.4,-99.5884
10.42,-99.7761
10.44,-99.9637
10.46,-100.151
10.48,-100.339
10.5,-100.526
10.52,-100.714
10.54,-100.902
10.56,-101.089
10.58,-101.277
10.6,-101.464
10.62,-101.651
10.64,-101.839
10.66,-102.026
10.68,-102.214
10.7,-102.401
10.72,-102.588
10.74,-102.775
10.76,-102.963
10.78,-103.15
10.8,-103.337
10.82,-103.524
10.84,-103.712
10.86,-103.899
10.88,-104.086
10.9,-104.273
10.92,-104.46
10.94,-104.647
10.96,-104.834
10.98,-105.021
11,-105.208
11.02,-105.395
11.04,-105.582
11.06,-105.769
11.08,-105.956
11.1,-106.143
11.12,-106.329
11.14,-106.516
11.16,-106.703
11.18,-106.89
11.2,-107.076
11.22,-107.263
11.24,-107.45
11.26,-107.637
11.28,-107.823
11.3,-108.01
11.32,-108.196
11.34,-108.383
11.36,-108.569
11.38,-108.756
11.4,-108.942
11.42,-109.129
11.44,-109.315
11.46,-109.502
11.48,-109.688
11.5,-109.874
11.52,-110.061
11.54,-110.247
11.56,-110.433
11.58,-110.62
11.6,-110.806
11.62,-110.992
11.64,-111.178
11.66,-111.364
11.68,-111.551
11.7,-111.737
11.72,-111.923
11.74,-112.109
11.76,-112.295
11.78,-112.481
11.8,-112.667
11.82,-112.853
11.84,-113.039
11.86,-113.224
11.88,-113.41
11.9,-113.596
11.92,-113.782
11.94,-113.968
11.96,-114.154
11.98,-114.339
12,-114.525
12.02,-114.711
12.04,-114.896
12.06,-115.082
12.08,-115.267
12.1,-115.453
12.12,-115.639
12.14,-115.824
12.16,-116.01
12.18,-116.195
12.2,-116.381
12.22,-116.566
12.24,-116.751
12.26,-116.937
12.28,-117.122
12.3,-117.307
12.32,-117.493
12.34,-117.678
12.36,-117.863
12.38,-118.048
12.4,-118.233
12.42,-118.418
12.44,-118.604
12.46,-118.789
12.48,-118.974
12.5,-119.159
12.52,-119.344
12.54,-119.529
12.56,-119.714
12.58,-119.898
12.6,-120.083
12.62,-120.268
12.64,-120.453
12.66,-120.638
12.68,-120.823
12.7,-121.007
12.72,-121.192
12.74,-121.377
12.76,-121.561
12.78,-121.746
12.8,-121.931
12.82,-122.115
12.84,-122.3
12.86,-122.484
12.88,-122.669
12.9,-122.853
12.92,-123.037
12.94,-123.222
12.96,-123.406
12.98,-123.591
13,-123.775
13.02,-123.959
13.04,-124.143
13.06,-124.328
13.08,-124.512
